loan_amnt,term,int_rate,installment,grade,home_ownership,annual_inc,verification_status,loan_status,purpose,dti,earliest_cr_line,pub_rec,revol_bal,revol_util,total_acc,mort_acc,postal_code
25375.0,1,19.72,668.34,4,0,65000.0,2,0,1,16.91,1988,0,24620.0,63.0,30.0,4.0,3
12000.0,0,12.85,403.47,2,0,43000.0,2,1,2,18.78,1998,0,13365.0,61.9,24.0,2.0,7
27000.0,0,15.61,944.05,4,3,60000.0,2,0,2,30.52,1992,0,28512.0,65.0,16.0,0.0,3
20000.0,1,10.74,432.26,2,0,108000.0,2,1,9,6.76,1987,0,50111.0,73.3,13.0,1.8139908160844136,0
12250.0,0,16.49,433.65,4,3,65000.0,1,1,6,15.53,1999,1,2376.0,15.1,24.0,2.0,3
12000.0,0,13.11,404.94,3,0,96000.0,0,1,1,14.3,1999,1,7121.0,52.7,17.0,1.8139908160844136,0
19000.0,0,6.89,585.71,1,3,62000.0,0,1,2,22.79,2003,0,11530.0,63.4,18.0,0.0,6
33600.0,1,23.99,966.41,6,0,91670.0,2,1,2,21.57,2000,0,28367.0,63.2,41.0,4.0,5
20000.0,1,19.19,520.91,5,3,64000.0,1,0,1,17.89,2001,1,6723.0,17.1,36.0,0.0,2
24000.0,1,19.19,625.09,5,2,150000.0,1,0,2,7.5,2000,1,8409.0,26.5,21.0,0.0,3
22000.0,0,12.99,741.17,2,0,100000.0,1,1,2,12.8,2009,0,18195.0,68.1,15.0,1.0,5
4800.0,0,14.65,165.58,3,3,80000.0,2,1,12,25.14,1987,0,16244.0,58.0,45.0,0.0,4
6200.0,0,12.99,208.88,3,3,46800.0,2,1,2,27.88,2004,0,9278.0,48.3,30.0,0.0,7
10000.0,1,15.61,241.12,3,3,80000.0,2,1,1,11.35,2002,0,7918.0,69.5,14.0,0.0,5
16000.0,0,9.17,510.07,2,3,60000.0,0,1,2,23.39,1997,0,23256.0,53.2,37.0,0.0,7
12000.0,0,12.29,400.24,3,3,135000.0,1,1,1,1.73,1999,0,7893.0,54.4,15.0,1.0,7
5600.0,0,10.62,182.34,2,2,75000.0,0,1,3,14.32,1993,0,15055.0,88.0,21.0,1.8139908160844136,0
5650.0,0,14.33,194.02,3,2,64480.0,0,1,1,12.84,2000,0,20760.0,95.7,16.0,0.0,4
14350.0,0,14.16,491.57,3,3,60000.0,0,0,1,28.74,1991,0,28446.0,84.7,28.0,0.0,2
8000.0,0,14.49,275.33,3,2,60000.0,0,1,2,11.2,1969,1,4235.0,78.4,26.0,1.0,0
5000.0,0,14.47,172.04,3,0,69468.0,2,1,2,9.17,1999,0,14261.0,55.1,16.0,3.0,0
19500.0,1,10.99,423.89,2,0,60000.0,1,0,2,22.2,2004,0,1471.0,5.3,32.0,1.0,7
11000.0,0,8.18,345.62,2,3,155000.0,0,0,1,8.55,1996,0,12088.0,80.0,34.0,0.0,7
20000.0,1,17.99,507.76,5,2,37200.0,2,1,2,21.0,1996,0,20372.0,73.8,24.0,1.8139908160844136,5
20000.0,1,16.24,488.92,3,3,115000.0,2,1,2,14.66,1989,0,14136.0,75.6,21.0,0.0,7
13200.0,1,18.24,336.92,4,3,35000.0,1,0,2,26.27,2004,0,2881.0,96.0,40.0,0.0,8
10000.0,0,12.12,332.72,2,3,55000.0,0,1,2,18.16,2007,0,8340.0,37.7,17.0,0.0,5
17800.0,1,18.54,457.25,5,0,74000.0,2,0,1,13.8,1969,1,19647.0,89.7,44.0,5.0,6
9000.0,0,11.99,298.89,2,3,27000.0,1,1,2,28.84,1996,1,3636.0,22.7,45.0,0.0,4
20000.0,1,18.25,510.6,4,3,120000.0,2,1,2,5.4,1998,0,12401.0,70.5,25.0,0.0,3
15000.0,0,12.29,500.3,3,0,65000.0,1,1,4,10.47,1991,0,9647.0,77.8,18.0,5.0,6
20000.0,0,12.12,665.44,2,3,100000.0,1,1,2,18.11,1990,0,34686.0,65.7,44.0,0.0,7
25200.0,0,16.55,892.82,4,0,60000.0,2,1,2,29.44,1984,0,13463.0,84.1,30.0,2.0,7
9350.0,0,6.62,287.08,1,0,28394.0,0,1,2,21.68,1998,0,17235.0,39.3,16.0,1.8139908160844136,7
6000.0,0,12.12,199.63,2,0,80000.0,2,1,2,13.52,1995,0,23548.0,72.2,10.0,1.0,5
7000.0,0,13.04,236.0,3,3,57960.0,2,1,1,13.77,2000,0,21159.0,76.1,16.0,1.8139908160844136,5
26500.0,0,15.81,929.18,3,0,150000.0,2,1,4,29.29,1993,0,65113.0,61.6,50.0,11.0,4
3500.0,0,11.49,115.4,2,0,77000.0,1,1,2,6.39,1996,0,5358.0,81.2,29.0,2.0,4
10000.0,0,8.9,317.54,1,0,48000.0,1,0,1,14.08,2000,0,15852.0,54.1,20.0,1.0,7
25000.0,0,17.14,893.07,4,0,77000.0,2,1,2,32.33,2001,0,11623.0,55.1,35.0,3.0,5
5000.0,0,9.67,160.57,2,3,35000.0,1,1,1,8.54,1986,1,4148.0,14.0,28.0,0.0,6
8875.0,0,18.85,324.65,4,3,96000.0,0,1,2,16.23,2008,0,11033.0,70.3,24.0,0.0,7
10000.0,0,6.49,306.45,1,0,80000.0,0,1,1,20.01,2001,0,25153.0,94.6,27.0,5.0,0
14000.0,0,6.24,427.44,1,3,160000.0,1,1,1,10.16,1999,0,24698.0,65.9,18.0,0.0,7
9600.0,0,14.33,329.65,3,0,50000.0,0,1,2,19.51,2001,1,9509.0,62.6,25.0,1.0,4
10500.0,0,17.27,375.77,3,0,70000.0,1,1,6,20.06,2003,0,1887.0,14.7,12.0,4.0,3
5000.0,0,11.44,164.74,2,2,37500.0,2,0,2,19.65,1998,0,9205.0,40.2,22.0,2.0,3
10000.0,0,7.69,311.94,1,0,96000.0,1,1,2,16.26,1984,1,24091.0,73.9,70.0,6.0,4
8000.0,0,13.99,273.39,3,3,52000.0,2,1,1,15.88,2001,0,12821.0,90.3,47.0,0.0,5
20000.0,0,10.64,651.37,2,3,60000.0,2,1,1,12.96,1997,0,20032.0,77.3,16.0,0.0,3
14400.0,1,12.79,326.1,3,3,48000.0,2,1,2,13.15,1998,0,7598.0,18.8,23.0,0.0,5
3500.0,0,11.53,115.47,2,0,38500.0,2,1,2,24.72,2005,0,3493.0,48.5,16.0,2.0,6
10000.0,0,16.99,356.48,4,3,36000.0,0,1,9,4.51,1984,0,1245.0,1.7,26.0,0.0,5
16000.0,1,12.99,363.97,3,2,48000.0,1,0,1,5.3,1990,0,13661.0,41.0,4.0,0.0,8
10000.0,0,7.89,312.86,1,3,76300.0,1,1,2,14.21,1990,0,6660.0,45.6,38.0,1.0,3
10000.0,0,14.33,343.39,3,0,70000.0,2,1,2,30.89,1994,0,19138.0,66.5,20.0,3.0,7
17750.0,0,15.31,618.01,3,0,46560.0,2,0,2,24.33,1998,0,27084.0,51.7,38.0,4.0,3
11000.0,0,11.55,363.0,2,0,95000.0,0,1,1,4.79,2004,0,11573.0,35.0,22.0,0.0,4
8000.0,0,11.67,264.46,2,0,83000.0,2,1,11,11.94,2005,0,0.0,0.0,46.0,1.0,3
12000.0,0,17.76,432.39,4,3,57800.0,2,1,2,12.92,2002,0,4209.0,95.7,27.0,0.0,3
21000.0,0,8.9,666.82,1,0,216000.0,2,1,1,14.79,1999,0,26397.0,64.5,27.0,1.8139908160844136,4
4800.0,0,7.49,149.29,1,3,20000.0,1,1,2,18.12,2002,0,0.0,0.0,13.0,1.8139908160844136,3
10000.0,0,12.99,336.9,3,3,40000.0,0,1,2,28.17,2004,0,7457.0,93.2,16.0,0.0,3
8000.0,0,11.99,265.68,2,3,46000.0,0,1,1,9.08,2000,0,8348.0,84.3,15.0,0.0,4
9025.0,0,16.99,321.73,4,2,26568.0,2,0,9,14.86,2003,0,5043.0,41.0,14.0,0.0,2
8000.0,0,9.17,255.04,2,0,65000.0,0,1,2,13.68,2000,0,6758.0,60.9,18.0,3.0,7
12000.0,0,6.62,368.45,1,3,58000.0,0,1,13,14.77,2001,0,8258.0,22.2,33.0,0.0,1
9000.0,0,12.12,299.45,2,0,175000.0,0,1,4,11.84,1994,0,15048.0,57.4,31.0,2.0,1
18000.0,0,19.05,660.27,4,3,70000.0,0,1,1,20.11,2001,0,19308.0,91.5,24.0,0.0,7
30000.0,1,23.7,857.83,6,2,73820.0,2,1,2,17.17,1995,1,11787.0,29.0,34.0,0.0,0
12000.0,0,19.05,440.18,4,3,55416.0,0,1,2,6.93,1997,1,9126.0,62.1,19.0,0.0,7
25000.0,0,10.15,808.45,2,0,68400.0,1,1,1,27.48,2006,0,24694.0,44.4,48.0,2.0,6
8000.0,0,15.1,277.72,3,3,60000.0,0,1,1,11.9,1999,0,7921.0,67.1,14.0,4.0,3
4200.0,0,16.99,149.73,4,0,40000.0,2,1,2,18.96,2000,0,3944.0,57.2,16.0,1.0,6
21500.0,1,13.98,500.05,3,0,85000.0,1,1,2,11.14,2002,0,7452.0,75.3,18.0,4.0,0
12500.0,1,18.54,321.11,5,3,67700.0,0,0,2,28.97,1994,0,42735.0,95.2,53.0,0.0,9
15000.0,1,18.92,388.45,4,0,70000.0,1,1,2,13.43,1998,0,9135.0,60.9,18.0,0.0,4
5000.0,0,6.24,152.66,1,0,40000.0,0,1,2,14.19,2008,0,3897.0,26.2,9.0,1.0,7
12000.0,0,9.67,385.35,2,0,210000.0,1,1,7,16.55,1994,0,22348.0,51.5,33.0,2.0,0
8000.0,0,18.55,291.44,4,3,41000.0,0,1,10,10.51,2006,0,7219.0,83.0,12.0,0.0,5
7000.0,0,10.99,229.14,2,0,100000.0,1,1,2,12.43,2003,0,4978.0,28.9,43.0,9.0,7
9000.0,0,11.49,296.75,2,3,46704.0,1,1,2,12.13,2005,0,5152.0,40.6,13.0,1.8139908160844136,6
5500.0,0,14.47,189.24,3,0,20000.0,2,1,1,22.63,2002,1,4874.0,23.7,20.0,3.0,5
5625.0,0,12.68,188.67,3,3,25000.0,1,1,1,4.27,2005,0,5514.0,50.1,5.0,1.8139908160844136,4
6000.0,0,12.99,202.14,3,3,75000.0,1,0,2,30.85,2003,0,15086.0,75.8,24.0,0.0,7
16000.0,0,17.77,576.6,4,3,90000.0,1,1,1,5.48,2000,0,14209.0,49.0,32.0,0.0,3
6000.0,0,6.03,182.62,1,3,50000.0,0,1,2,17.26,1990,0,5033.0,47.9,22.0,0.0,7
7500.0,0,11.53,247.43,2,0,80000.0,0,1,2,13.34,1999,0,13196.0,49.6,35.0,5.0,3
18000.0,0,13.67,612.32,3,0,120000.0,1,1,1,17.96,1990,0,25067.0,64.1,44.0,4.0,0
4700.0,0,12.12,156.38,2,3,35000.0,2,1,0,15.33,2003,0,19257.0,77.0,23.0,0.0,5
10000.0,0,10.15,323.38,2,3,76000.0,1,1,2,18.61,1999,0,7593.0,40.0,35.0,2.0,6
10000.0,0,11.99,332.1,3,2,30000.0,1,1,0,5.04,2007,0,3388.0,33.5,5.0,0.0,0
10000.0,0,10.99,327.34,2,3,37000.0,2,1,4,16.9,1994,0,9634.0,42.1,33.0,4.0,3
9600.0,0,14.31,329.56,3,3,88325.4,1,1,9,24.89,1996,0,12465.0,83.7,21.0,0.0,1
20000.0,1,19.52,524.56,5,0,123990.16,1,0,2,12.4,1997,1,32102.0,76.6,21.0,3.0,9
17000.0,0,11.53,560.84,2,3,95000.0,2,1,7,13.0,1969,1,5035.0,60.7,10.0,0.0,6
7525.0,0,12.12,250.37,2,0,42000.0,0,1,2,16.77,2005,0,11597.0,80.5,17.0,1.0,0
24000.0,0,7.62,747.88,1,3,500000.0,2,1,1,7.46,2000,0,30211.0,56.5,63.0,0.0,6
6000.0,0,11.99,199.26,2,3,47100.0,0,1,2,22.01,2011,0,4850.0,30.9,11.0,0.0,4
15000.0,0,7.62,467.43,1,0,49000.0,2,1,4,9.4,1995,1,7095.0,36.6,24.0,5.0,5
19275.0,0,9.99,621.86,2,2,92000.0,0,1,2,16.35,2002,0,41340.0,73.8,37.0,2.0,4
22000.0,0,8.19,691.33,1,0,92000.0,1,1,1,26.82,2003,0,21658.0,83.6,39.0,2.0,5
14025.0,0,15.88,492.25,3,0,70000.0,2,1,2,16.18,1991,0,8027.0,37.0,40.0,3.0,4
15625.0,1,19.99,413.88,5,0,70000.0,1,0,2,8.9,1996,1,2848.0,38.5,14.0,1.0,2
15000.0,1,15.31,359.3,3,0,85000.0,2,0,2,18.52,2002,0,25585.0,73.5,27.0,3.0,8
8400.0,0,11.44,276.76,2,2,75000.0,1,1,2,23.28,1996,0,11656.0,82.7,25.0,2.0,1
8000.0,0,9.67,256.9,2,0,90000.0,0,1,2,13.77,1993,0,23979.0,58.3,23.0,3.0,3
26125.0,0,19.52,964.53,5,0,101715.0,2,1,2,26.45,1982,0,15376.0,75.7,34.0,8.0,3
10000.0,0,9.17,318.79,2,0,52000.0,0,1,4,18.09,1995,1,6471.0,57.3,20.0,2.0,7
6400.0,0,18.75,233.8,4,2,38000.0,0,0,2,22.17,2005,0,7322.0,82.3,14.0,0.0,6
6000.0,0,15.27,208.79,3,3,49000.0,0,1,2,23.29,1999,0,21477.0,72.8,18.0,1.8139908160844136,1
10000.0,0,13.05,337.19,2,3,80000.0,0,1,1,9.38,2002,0,7938.0,57.5,33.0,0.0,7
20000.0,0,6.92,616.82,1,0,74000.0,1,1,2,25.45,2002,0,26559.0,34.0,48.0,3.0,7
24575.0,0,14.33,843.86,3,2,55000.0,2,0,2,31.46,2002,0,9178.0,60.4,19.0,0.0,3
4200.0,0,16.99,149.73,4,3,42800.0,2,0,2,28.27,1996,0,3427.0,23.2,35.0,0.0,8
14800.0,0,10.15,478.6,2,0,33000.0,0,1,2,25.96,1999,0,15345.0,30.2,25.0,3.0,6
2800.0,0,15.61,97.91,3,3,48000.0,2,1,2,14.08,2002,1,3367.0,64.7,23.0,0.0,3
5000.0,0,8.99,158.98,2,0,111000.0,1,1,2,8.72,2001,0,9762.0,97.6,22.0,4.0,7
10600.0,1,16.99,263.39,4,0,55000.0,1,1,2,32.49,1998,0,27210.0,70.3,30.0,2.0,1
28000.0,0,7.39,869.57,1,2,119000.0,1,1,2,16.99,1989,0,47431.0,77.1,28.0,4.0,5
24000.0,0,11.49,791.32,2,3,128000.0,1,1,9,15.16,2002,0,21818.0,39.8,28.0,0.0,7
10375.0,0,8.9,329.44,1,0,40000.0,0,1,4,24.33,1998,0,0.0,0.0,16.0,0.0,7
9400.0,0,18.49,342.15,4,0,55000.0,2,0,2,17.02,2002,0,6858.0,31.5,40.0,12.0,3
18000.0,1,18.84,465.35,5,0,50000.0,1,0,2,28.08,1995,1,16941.0,56.5,38.0,1.0,2
13000.0,0,13.67,442.23,2,0,45000.0,2,1,1,25.2,1997,0,7819.0,60.6,53.0,3.0,3
27950.0,1,22.45,779.12,5,2,77000.0,1,0,2,27.84,1989,1,5880.0,44.2,12.0,0.0,2
5000.0,0,9.75,160.75,2,0,120000.0,1,1,2,20.18,1997,0,2017.0,7.6,33.0,4.0,0
25925.0,0,12.99,873.4,3,0,56500.0,2,1,2,8.41,1995,0,30328.0,54.4,37.0,3.0,7
6500.0,0,13.98,222.1,3,3,30104.0,1,1,2,15.31,2001,1,5972.0,63.0,13.0,0.0,5
27600.0,1,11.53,607.42,2,0,100000.0,0,1,2,14.15,2002,0,14155.0,28.8,29.0,3.0,4
23675.0,0,16.55,838.79,4,0,90000.0,2,1,2,9.19,1994,1,7057.0,61.0,33.0,6.0,4
11850.0,0,13.35,401.28,3,2,45000.0,0,1,2,28.36,1991,0,25678.0,25.2,44.0,1.0,1
11000.0,0,11.14,360.86,2,0,70000.0,0,1,1,5.3,1996,1,10431.0,58.6,18.0,1.0,6
6000.0,0,11.99,199.26,2,3,46000.0,0,1,1,4.44,2006,0,4473.0,71.0,29.0,0.0,7
18000.0,0,10.16,582.17,2,0,60000.0,0,1,6,7.24,1981,0,2331.0,75.2,14.0,1.0,5
20000.0,1,12.69,451.9,3,0,50000.0,0,1,2,22.4,2003,0,5142.0,22.5,17.0,2.0,7
16000.0,0,12.88,538.18,3,3,60000.0,1,0,1,18.3,2011,0,13218.0,87.5,14.0,0.0,6
23500.0,0,16.99,837.73,4,0,56000.0,1,1,2,25.29,1995,0,15125.0,68.4,17.0,3.0,1
24000.0,1,12.35,538.13,2,0,71000.0,2,1,1,12.34,2001,0,14401.0,47.8,52.0,5.0,7
10675.0,0,14.64,368.18,3,0,57200.0,0,0,4,15.63,2001,1,9072.0,34.0,29.0,1.0,6
12000.0,0,7.89,375.43,1,0,100000.0,1,1,2,11.6,2005,0,21599.0,48.3,27.0,4.0,0
15000.0,1,18.99,389.03,5,3,60000.0,1,0,2,10.48,2006,0,4286.0,41.2,8.0,0.0,3
6075.0,0,14.09,207.9,2,3,22000.0,0,1,1,5.56,2002,0,5070.0,63.4,12.0,0.0,3
12000.0,0,12.49,401.39,2,0,80000.0,1,1,2,4.94,1991,1,1731.0,25.0,16.0,3.0,5
6000.0,0,10.99,196.41,2,3,36000.0,1,1,2,19.13,2002,1,2857.0,31.1,24.0,0.0,1
5000.0,0,14.48,172.06,3,0,73000.0,1,1,2,11.61,2002,1,3941.0,71.7,25.0,3.0,6
25000.0,1,15.59,602.52,3,0,116000.0,1,1,2,5.36,2004,0,17379.0,63.4,19.0,2.0,4
15000.0,1,15.61,361.67,3,0,72200.0,0,0,2,22.02,2004,0,13602.0,78.6,20.0,3.0,7
28000.0,1,21.98,773.02,5,0,210000.0,2,1,2,18.42,1978,0,57007.0,96.2,36.0,5.0,6
28000.0,0,11.14,918.55,2,0,154000.0,2,1,2,19.32,1993,0,17140.0,95.8,29.0,2.0,0
20000.0,0,6.62,614.08,1,0,111000.0,2,1,2,14.75,2000,1,20554.0,42.2,25.0,1.0,0
14700.0,1,18.24,375.21,4,3,48000.0,1,0,1,33.78,2006,0,20375.0,76.6,30.0,0.0,7
9000.0,0,9.71,289.19,2,0,102000.0,1,1,2,16.15,1996,0,36813.0,76.2,47.0,1.0,0
15000.0,0,10.16,485.14,2,0,80000.0,2,1,2,26.56,1998,0,29200.0,69.2,45.0,8.0,5
18125.0,0,20.49,678.13,5,0,77665.0,0,1,2,14.94,2000,0,20236.0,93.3,37.0,1.0,3
28000.0,0,13.33,947.89,3,0,72000.0,0,1,4,29.72,2006,0,11844.0,21.0,39.0,1.0,0
15000.0,1,13.33,343.84,3,3,48000.0,1,1,2,5.08,2006,0,10087.0,53.7,12.0,2.0,5
6400.0,0,11.53,211.14,2,0,64000.0,2,1,2,27.32,2001,0,9019.0,22.6,44.0,4.0,0
9100.0,0,12.49,304.39,2,0,34000.0,2,0,1,21.71,1997,0,8766.0,49.0,25.0,3.0,8
3275.0,0,13.65,111.38,3,2,39900.0,0,1,2,10.18,1993,0,5729.0,51.2,13.0,1.0,0
12000.0,1,15.31,287.44,3,3,67000.0,1,1,1,17.97,1996,0,11191.0,55.7,23.0,1.0,3
21000.0,0,6.49,643.54,1,0,83000.0,0,1,2,9.67,2003,0,16584.0,33.0,18.0,4.0,4
12000.0,0,15.59,419.46,4,3,240000.0,1,1,2,6.83,1999,1,8723.0,56.6,18.0,0.0,6
28000.0,1,14.98,665.83,3,0,190000.0,2,1,2,20.3,1991,0,33115.0,60.3,35.0,3.0,1
6500.0,0,12.49,217.42,2,3,39000.0,1,1,2,21.85,2001,0,4377.0,60.0,31.0,1.0,3
18000.0,1,14.33,421.92,3,0,91000.0,2,1,2,7.85,1996,0,19972.0,76.2,19.0,3.0,5
6500.0,0,10.99,212.78,2,3,27500.0,0,0,2,23.96,2000,0,4447.0,80.9,22.0,0.0,2
6000.0,0,16.55,212.58,4,0,55000.0,1,1,2,15.56,2004,1,10884.0,45.9,34.0,1.0,0
9000.0,0,8.9,285.78,1,0,60000.0,0,0,4,20.68,2000,0,18856.0,58.9,23.0,5.0,6
20350.0,0,13.99,695.42,3,3,120000.0,1,1,2,5.79,2005,0,5658.0,38.2,19.0,0.0,3
3250.0,0,17.99,117.48,4,3,50000.0,1,1,6,12.31,1992,0,26616.0,95.1,24.0,1.8139908160844136,5
7000.0,0,8.9,222.28,1,0,47000.0,0,1,2,20.71,2000,0,10415.0,38.7,31.0,1.0,6
7000.0,0,13.68,238.16,3,3,60000.0,1,1,2,6.64,2006,0,7344.0,56.5,13.0,0.0,1
5000.0,0,11.53,164.96,2,3,60000.0,2,1,9,13.38,2004,0,7849.0,64.9,12.0,0.0,7
20300.0,1,11.99,451.46,2,0,49000.0,1,1,4,1.77,1999,0,1807.0,5.7,28.0,1.0,3
25000.0,1,18.25,638.25,4,3,100000.0,2,1,2,15.76,2004,0,16596.0,27.1,21.0,0.0,4
9450.0,0,21.67,359.29,5,3,19661.25,2,0,2,32.48,1994,1,5038.0,37.6,13.0,0.0,8
12000.0,0,8.9,381.04,1,0,68000.0,1,1,2,17.47,2001,0,26974.0,29.4,61.0,1.0,6
6400.0,0,8.18,201.09,2,0,105000.0,2,1,2,28.46,2002,0,20216.0,73.8,50.0,3.0,4
20000.0,0,15.61,699.3,3,2,110000.0,1,1,2,16.15,1990,0,21635.0,74.9,26.0,1.0,0
12000.0,0,9.99,387.15,2,0,50000.0,1,1,2,23.24,2000,0,9703.0,64.3,23.0,4.0,4
25000.0,1,16.2,610.62,3,0,72000.0,2,1,2,11.58,1971,0,3847.0,55.0,37.0,1.0,1
18600.0,1,18.25,474.86,4,3,68000.0,1,1,1,19.78,2002,0,40440.0,90.5,27.0,0.0,6
9000.0,0,7.51,280.0,1,3,45000.0,0,1,1,23.41,1970,0,7105.0,38.0,15.0,1.8139908160844136,1
19200.0,0,12.84,645.47,3,0,102000.0,2,0,2,20.21,1983,0,8776.0,25.2,47.0,1.8139908160844136,8
7000.0,0,15.61,244.76,3,0,35000.0,2,0,4,29.8,2002,0,13029.0,73.2,39.0,1.0,3
15000.0,0,13.53,509.25,2,0,70000.0,0,1,1,21.05,1998,1,10008.0,61.0,21.0,0.0,1
30000.0,1,19.19,781.36,5,3,120000.0,1,1,2,12.55,2002,0,19460.0,35.9,32.0,0.0,6
5500.0,0,14.31,188.81,3,3,54000.0,2,1,2,6.36,1989,1,9384.0,78.9,17.0,0.0,0
12000.0,0,10.99,392.81,2,3,48000.0,0,1,1,14.98,2002,0,22785.0,67.6,23.0,2.0,5
5000.0,0,11.71,165.38,2,3,45500.0,0,1,2,11.42,2003,0,4833.0,89.5,15.0,1.8139908160844136,1
25850.0,1,23.99,743.51,6,2,72000.0,1,0,2,12.26,2012,0,5048.0,21.1,12.0,1.0,8
4350.0,0,12.99,146.55,3,3,18000.0,0,1,2,24.13,2011,0,4454.0,61.0,6.0,0.0,7
11100.0,0,17.77,400.02,4,3,59000.0,2,1,2,8.14,2004,0,3818.0,70.7,15.0,0.0,5
16800.0,1,14.46,394.93,3,0,139000.0,2,1,2,20.96,2005,0,35475.0,78.0,32.0,3.0,5
20050.0,0,14.33,688.48,3,0,69500.0,2,1,1,14.8,1986,1,14075.0,70.4,24.0,4.0,1
8000.0,0,12.49,267.6,2,3,36000.0,1,0,2,23.9,1996,0,7401.0,32.3,37.0,2.0,5
13000.0,0,7.62,405.1,1,0,75000.0,0,1,2,10.75,2001,0,17744.0,56.0,30.0,2.0,0
8000.0,0,21.7,304.29,5,3,40000.0,0,1,2,22.2,2006,0,6254.0,73.6,32.0,0.0,3
8400.0,0,17.77,302.72,4,0,90600.0,0,1,2,17.47,2004,0,14272.0,68.9,13.0,1.0,0
19950.0,1,23.63,569.65,6,0,56000.0,2,0,2,26.98,2001,0,9216.0,64.4,12.0,1.0,5
14375.0,1,12.29,321.88,3,0,63000.0,2,1,2,17.67,2002,0,14257.0,50.0,29.0,6.0,3
18175.0,1,18.49,466.39,5,3,124000.0,1,1,2,28.63,2005,1,4006.0,38.2,62.0,4.0,3
24000.0,0,18.55,874.3,4,3,59500.0,2,0,1,17.87,2003,0,17121.0,77.5,14.0,0.0,6
20125.0,1,22.95,566.76,6,0,50000.0,2,1,2,31.51,2000,0,28059.0,81.1,55.0,1.0,1
16000.0,1,17.57,402.57,4,3,80000.0,1,1,2,18.18,2004,0,9586.0,30.3,23.0,0.0,5
10000.0,1,15.1,238.43,3,3,35000.0,2,1,2,5.9,2000,0,6533.0,38.2,14.0,0.0,6
12000.0,1,18.24,306.3,4,3,34000.0,2,1,2,23.93,2000,0,8651.0,71.5,9.0,0.0,6
9875.0,0,15.41,344.31,4,3,41000.0,1,1,2,23.4,1995,0,2933.0,50.6,32.0,6.0,3
14075.0,0,15.8,493.45,3,0,75000.0,0,0,2,28.56,2000,0,5923.0,49.4,24.0,1.0,9
14500.0,0,13.48,491.9,3,0,45000.0,0,1,1,24.4,1990,0,26125.0,59.2,21.0,1.8139908160844136,0
10000.0,0,12.49,334.49,2,0,115000.0,2,1,2,11.31,2000,0,19260.0,30.6,46.0,6.0,0
8000.0,0,10.15,258.71,2,0,65000.0,0,1,2,8.66,1997,0,5539.0,20.3,35.0,5.0,5
23000.0,0,6.62,706.19,1,0,86400.0,0,1,2,12.08,1993,0,24693.0,52.1,20.0,1.0,5
10000.0,0,14.09,342.22,2,3,98000.0,2,1,2,9.55,1981,0,11520.0,63.3,23.0,0.0,5
12000.0,1,12.69,271.14,3,3,55000.0,1,1,2,24.48,2006,0,7354.0,47.1,21.0,0.0,5
7000.0,0,17.27,250.52,3,0,42713.76,2,0,4,10.12,1987,1,6395.0,48.8,55.0,3.0,7
24000.0,1,21.15,651.31,5,3,88000.0,2,1,2,17.39,1984,0,28315.0,25.8,47.0,4.0,3
20000.0,1,16.59,492.66,4,0,100000.0,2,1,2,15.72,2002,0,11600.0,34.0,24.0,2.0,5
8000.0,0,12.99,269.52,3,2,37000.0,1,1,1,20.14,2003,0,2145.0,31.5,37.0,0.0,3
